,SA2 code,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2026 Population,2031 Population,2036 Population,2023 Population,2024 Population,2025 Population,SA2 name
389,212051325,20517,20609,20667,20675,20078,21359.552228338085,19940.800000000017,19534.800000000017,19128.800000000017,21617.465326112695,21875.378423887305,22133.291521661973,Mulgrave
390,212051326,22986,23247,23554,23689,23254,24872.190021306742,24030.600000000006,24519.600000000006,25008.600000000006,25346.729030539747,25821.268039772636,26295.80704900564,Oakleigh - Huntingdale
391,212051327,20970,21033,21116,21164,20854,21396.22611860797,20956.700000000004,20906.200000000004,20855.700000000004,21515.074396306823,21633.922674005677,21752.77095170456,Wheelers Hill
392,212051567,11502,11827,11722,11711,10114,10507.59999999986,9350.79999999993,7904.79999999993,6458.79999999993,10218.399999999907,9929.199999999953,9639.999999999884,Clayton (North) - Notting Hill
393,212051568,13135,13555,13881,14090,12378,13114.100000000006,12722.49999999997,12232.99999999997,11743.49999999997,13016.200000000012,12918.299999999988,12820.399999999994,Clayton - Central
394,213011328,8226,8224,8178,8075,7595,8612.196768465918,7071.899999999965,6366.399999999965,5660.899999999965,8775.613603811536,8939.030439157214,9102.447274502832,Ardeer - Albion
395,213011329,10357,10437,10442,10498,10144,10781.332648259937,10120.100000000006,9937.600000000006,9755.100000000006,10894.257611268928,11007.182574277918,11120.107537286938,Cairnlea
396,213011331,8793,8727,8658,8526,8154,8734.69384765625,7536.299999999988,6796.799999999988,6057.299999999988,8777.247802734375,8819.8017578125,8862.355712890625,Delahey
397,213011332,13914,13859,13751,13548,13193,13809.87048117898,12425.899999999965,11549.399999999965,10672.899999999965,13850.583780184665,13891.29707919035,13932.01037819602,Keilor Downs
398,213011333,14572,14612,14639,14461,14081,14763.28159179687,13679.899999999994,13113.399999999994,12546.899999999994,14849.695833333331,14936.110074869794,15022.524316406256,Kings Park (Vic.)
399,213011334,21455,21714,21835,21643,20850,22430.23965731531,20602.70000000001,19962.20000000001,19321.70000000001,22720.256806344725,23010.273955374025,23300.29110440344,St Albans - North
400,213011335,18338,18484,18547,18368,17666,18793.65560191759,17258.599999999977,16528.599999999977,15798.599999999977,18951.279406368383,19108.903210819117,19266.52701526991,St Albans - South
401,213011336,10300,10313,10301,10092,9576,11638.726282847929,8948.100000000035,8113.600000000035,7279.100000000035,12110.948393110768,12583.17050337349,13055.39261363633,Sunshine
402,213011337,12317,12452,12478,12436,12163,13246.021457741503,12142.400000000009,11980.400000000009,11818.400000000009,13523.230948153418,13800.440438565449,14077.649928977364,Sunshine North
403,213011338,19779,19882,19900,19613,18779,20429.24272017047,18002.29999999999,16867.79999999999,15733.299999999988,20682.361831202637,20935.480942234863,21188.60005326703,Sunshine West
404,213011339,12657,12672,12651,12421,11866,12768.310071910528,11170.299999999988,10253.799999999988,9337.299999999988,12854.934086470166,12941.558101029834,13028.182115589501,Sydenham
405,213011340,18305,18161,17957,17591,17071,18025.75009765626,15690.400000000023,14171.400000000023,12652.400000000023,18071.862988281253,18117.975878906247,18164.088769531256,Taylors Lakes
406,213011569,19059,19280,19226,18959,18230,18357.100000000035,17565.5,16576.0,15586.5,18159.20000000001,17961.29999999999,17763.400000000023,Deer Park
407,213011570,8959,9031,9107,9005,8751,8838.0,8661.199999999997,8440.199999999997,8219.199999999997,8793.799999999988,8749.599999999991,8705.399999999994,Derrimut
408,213021341,13436,13645,13845,13857,13652,14256.188916015613,14137.800000000003,14459.800000000003,14781.800000000017,14435.336002604163,14614.483089192712,14793.630175781262,Altona
409,213021342,20156,20087,20014,19477,18665,20190.873934659117,17165.400000000023,15369.400000000023,13573.400000000023,20323.988251657225,20457.102568655333,20590.21688565344,Altona Meadows
410,213021343,14992,15174,15386,15377,15086,17124.472150213085,15476.699999999997,15672.199999999997,15867.699999999997,17733.77522194595,18343.07829367905,18952.381365411915,Altona North
411,213021344,18718,18961,19243,19389,18985,19854.181640625,19732.600000000006,20213.600000000006,20694.600000000006,20106.247884114622,20358.314127604186,20610.38037109375,Newport
412,213021345,5416,5394,5365,5245,5002,5457.207537286929,4600.5,4112.0,3623.5,5503.3399717388675,5549.47240619082,5595.604840642758,Seabrook
413,213021346,16494,16642,16777,16635,16074,17255.089728338062,15931.5,15508.0,15084.5,17468.110801373085,17681.131874408165,17894.152947443188,Williamstown
414,213031347,19548,19686,19792,19876,19361,21281.75581498572,19523.800000000003,19431.800000000003,19339.800000000003,21794.99786931812,22308.239923650515,22821.481977982912,Braybrook
415,213031348,17665,17891,18037,18068,17420,23222.215243252926,17597.100000000006,17440.600000000006,17284.100000000006,24828.264618844725,26434.313994436525,28040.363370028324,Footscray
416,213031349,13156,13195,13230,13247,12715,15360.083203125047,12527.600000000006,12112.600000000006,11697.600000000006,16057.561751302099,16755.04029947915,17452.518847656203,Maribyrnong
417,213031350,9773,9805,9806,9712,9364,10034.881343217334,9054.300000000017,8598.800000000017,8143.3000000000175,10140.666827947454,10246.452312677575,10352.237797407666,Seddon - Kingsville
418,213031351,12144,12251,12436,12356,11885,12890.339146839513,11925.300000000003,11718.800000000003,11512.300000000003,13089.750174597546,13289.161202355579,13488.57223011367,West Footscray - Tottenham
419,213031352,15797,15980,16077,16048,15653,17038.483354048338,15757.0,15647.0,15537.0,17391.074854995357,17743.66635594226,18096.25785688928,Yarraville
