,name,coordinates,real_station_distance,real_station_duration,nearestSchool,nearestSchool_distance,School_Y,School_X,School_Name,real_school_distance,real_school_duration
944,1/40 Green Street Wangaratta VIC 3677,"[-36.3529493, 146.315251]",229.7,154.5,Wangaratta West Primary School,0.981,-36.35413,146.30442,Wangaratta West Primary School,1.5,2.6
945,9 Langtree Avenue Wangaratta VIC 3677,"[-36.3536249, 146.3012145]",228.8,153.4,Wangaratta West Primary School,0.2931,-36.35413,146.30442,Wangaratta West Primary School,0.5,1.8
946,9 Moira Court Wangaratta VIC 3677,"[-36.3528385, 146.3001496]",228.8,153.5,Wangaratta West Primary School,0.4092,-36.35413,146.30442,Wangaratta West Primary School,0.7,2.2
947,89 Tone Road Wangaratta VIC 3677,"[-36.3645324, 146.301957]",227.5,150.7,Wangaratta West Primary School,1.1753,-36.35413,146.30442,Wangaratta West Primary School,2.2,3.0
948,39A Murphy Street Wangaratta VIC 3677,"[-36.3557294, 146.325498]",230.8,155.0,Wangaratta Primary School,0.3555,-36.35528,146.32942,Wangaratta Primary School,0.5,1.1
949,32 Younger Street Wangaratta VIC 3677,"[-36.3636113, 146.312047]",229.3,152.2,Yarrunga Primary School,1.0946,-36.37256,146.31718,Yarrunga Primary School,1.6,2.3
950,7 Salisbury Street Wangaratta VIC 3677,"[-36.3762604, 146.3128333]",228.0,150.3,Yarrunga Primary School,0.5663,-36.37256,146.31718,Yarrunga Primary School,0.6,0.9
951,43 Murray St Rutherglen VIC 3685,"[-36.0560501, 146.4616888]",272.3,177.3,Rutherglen Primary School,0.0988,-36.05621,146.46061,Rutherglen Primary School,0.1,0.4
952,33 Reid street Rutherglen VIC 3685,"[-36.0523706, 146.45972]",272.7,178.4,Rutherglen Primary School,0.4335,-36.05621,146.46061,Rutherglen Primary School,0.5,1.3
953,137 Main Street Rutherglen VIC 3685,"[-36.0535889, 146.4592581]",272.7,178.2,Rutherglen Primary School,0.3153,-36.05621,146.46061,Rutherglen Primary School,0.4,1.0
954,10 Scott Street Rutherglen VIC 3685,"[-36.0507538, 146.4554326]",274.5,179.3,Rutherglen Primary School,0.7643,-36.05621,146.46061,Rutherglen Primary School,0.9,2.1
955,5 Fortune Street Rutherglen VIC 3685,"[-36.056675, 146.4636644]",272.1,176.8,Rutherglen Primary School,0.28,-36.05621,146.46061,Rutherglen Primary School,0.4,1.0
956,77 Nightingale Avenue West Wodonga VIC 3690,"[-36.1299858, 146.8527003]",298.7,196.5,Belvoir Wodonga Special Developmental School,0.7699,-36.12321,146.85454,Belvoir Wodonga Special Developmental School,1.8,3.5
957,5 Jamieson Court Wodonga VIC 3690,"[-36.1226866, 146.855995]",298.6,194.1,Belvoir Wodonga Special Developmental School,0.1433,-36.12321,146.85454,Belvoir Wodonga Special Developmental School,0.2,0.6
958,1/6 Topaz Court Wodonga VIC 3690,"[-36.1233404, 146.8604812]",298.7,194.5,Belvoir Wodonga Special Developmental School,0.535,-36.12321,146.85454,Belvoir Wodonga Special Developmental School,1.1,2.4
959,6 Bower Place Wodonga VIC 3690,"[-36.1300679, 146.8477035]",297.5,195.1,Belvoir Wodonga Special Developmental School,0.9787,-36.12321,146.85454,Belvoir Wodonga Special Developmental School,1.2,2.8
960,26 Gayview Drive Wodonga VIC 3690,"[-36.1225984, 146.8554678]",298.3,193.5,Belvoir Wodonga Special Developmental School,0.1076,-36.12321,146.85454,Belvoir Wodonga Special Developmental School,0.1,0.2
961,2/8 Kingsbury Court Wodonga VIC 3690,"[-36.1321449, 146.8513111]",298.4,195.4,Melrose Primary School,0.9281,-36.1305,146.86142,Melrose Primary School,1.9,3.2
962,16 Avondale Drive Wodonga VIC 3690,"[-36.1470801, 146.8646057]",300.9,197.8,Melrose Primary School,1.862,-36.1305,146.86142,Melrose Primary School,2.5,4.1
963,7 Schultz Court Wodonga VIC 3690,"[-36.130636, 146.8603881]",299.4,195.6,Melrose Primary School,0.0941,-36.1305,146.86142,Melrose Primary School,0.2,0.5
964,4 Lanark Court Wodonga VIC 3690,"[-36.1173012, 146.8657829]",297.3,192.5,Wodonga West Primary School,1.1354,-36.12241,146.87671,Wodonga West Primary School,1.5,3.1
965,5/2 Kiewa East Road Tangambalanga VIC 3691,"[-36.253618, 147.023568]",323.2,235.3,Kiewa Valley Primary School,1.3957,-36.25105,147.03877,Kiewa Valley Primary School,1.5,2.3
966,3 Kiewa-Bonegilla Road Tangambalanga VIC 3691,"[-36.25113109999999, 147.0270311]",323.7,236.4,Kiewa Valley Primary School,1.0551,-36.25105,147.03877,Kiewa Valley Primary School,1.4,2.6
967,1 Heberles Road Tawonga South VIC 3698,"[-36.7322213, 147.1564663]",338.1,252.5,Mount Beauty Secondary College,1.3186,-36.74031,147.16728,Mount Beauty Secondary College,1.9,3.5
968,1 Young Crescent Tawonga South VIC 3698,"[-36.7330117, 147.1549943]",338.0,252.7,Mount Beauty Secondary College,1.3639,-36.74031,147.16728,Mount Beauty Secondary College,2.2,4.1
969,22 Hollonds Street Mount Beauty VIC 3699,"[-36.7435418, 147.1703736]",340.0,255.8,Mount Beauty Secondary College,0.4527,-36.74031,147.16728,Mount Beauty Secondary College,0.7,2.8
970,C/153 Great Alpine Road Harrietville VIC 3741,"[-36.8865382, 147.0649631]",328.6,249.2,Harrietville Primary School,0.1301,-36.88771,147.06494,Harrietville Primary School,0.1,0.5
971,153 Great Alpine Road Harrietville VIC 3741,"[-36.8865382, 147.0649631]",328.6,249.2,Harrietville Primary School,0.1301,-36.88771,147.06494,Harrietville Primary School,0.1,0.5
972,Bright VIC 3741,"[-36.7272091, 146.9605021]",304.8,229.0,Bright P-12 College,0.6548,-36.7331,146.96093,Bright P-12 College,0.7,2.0
973,1/5 Gillards Lane Wandiligong VIC 3744,"[-36.7669847, 146.9818389]",310.2,235.8,Wandiligong Primary School,0.2294,-36.76886,146.98292,Wandiligong Primary School,0.4,1.0
974,5 Heritage Lane Dinner Plain VIC 3898,"[-37.0245532, 147.2421019]",371.8,293.7,The Alpine School,0.3675,-37.02329,147.24592,The Alpine School,1.7,3.1
975,201 Yabba Road Tallangatta VIC 3700,"[-36.2218206, 147.2583933]",351.7,252.9,Tallangatta Primary School,7.6102,-36.2148,147.1742,Tallangatta Primary School,9.9,8.5
976,103 Harris St Corryong VIC 3707,"[-36.1970886, 147.898703]",423.8,303.0,Sacred Heart School,0.1351,-37.84003,144.8814,Sacred Heart School,452.9,298.9
992,116 Hanson Street Corryong VIC 3707,"[-36.1977378, 147.8988361]",423.8,302.8,Sacred Heart School,0.0642,-37.84003,144.8814,Sacred Heart School,452.9,298.7
1008,Rose Cottage/53 South Cathedral Lane Buxton VIC 3711,"[-37.4178708, 145.7278293]",74.9,74.4,Buxton Primary School,1.7079,-37.4214,145.70905,Buxton Primary School,8.3,12.0
1009,8 Main Street Eildon VIC 3713,"[-37.2334401, 145.9094217]",104.8,92.3,Eildon Primary School,0.2434,-37.23397,145.90676,Eildon Primary School,0.4,0.8
1010,3-5 Main Street Eildon VIC 3713,"[-37.2333739, 145.9091187]",104.7,92.1,Eildon Primary School,0.2195,-37.23397,145.90676,Eildon Primary School,0.3,0.6
1011,13 Rose Street Alexandra VIC 3714,"[-37.1943325, 145.7043214]",101.0,85.3,Alexandra Secondary College,0.2529,-37.19449,145.70148,Alexandra Secondary College,0.5,0.8
1012,2264 Whittlesea-Yea Road Flowerdale VIC 3717,"[-37.4038268, 145.2758512]",43.7,47.7,Kinglake West Primary School,8.7179,-37.4813,145.2596,Kinglake West Primary School,12.0,12.0
1013,38A High Street Yea VIC 3717,"[-37.2107023, 145.4245479]",69.2,61.7,Yea Primary School,0.402,-37.21273,145.4283,Yea Primary School,0.7,1.3
1014,27 Elvins Street Mansfield VIC 3722,"[-37.05395439999999, 146.0797784]",149.0,118.2,Mansfield Primary School,0.4838,-37.05559,146.08482,Mansfield Primary School,0.7,1.4
1015,1/30 Ailsa Street Mansfield VIC 3722,"[-37.0551267, 146.0929647]",150.0,119.9,Mansfield Primary School,0.7263,-37.05559,146.08482,Mansfield Primary School,1.2,2.9
1016,49 Hunter Street Mansfield VIC 3722,"[-37.0561829, 146.0891432]",149.9,119.4,Mansfield Primary School,0.3901,-37.05559,146.08482,Mansfield Primary School,0.7,1.8
1017,6 Clarke Street Mansfield VIC 3722,"[-37.0494926, 146.0876812]",149.8,119.2,Mansfield Primary School,0.723,-37.05559,146.08482,Mansfield Primary School,1.1,2.3
1018,9 Omega Street Merrijig VIC 3723,"[-37.104328, 146.2628737]",168.0,132.6,Merrijig Primary School,0.5591,-37.1028,146.25688,Merrijig Primary School,0.7,0.6
1019,3/9/4 Omega Street Merrijig VIC 3723,"[-37.1038536, 146.2617718]",168.0,132.7,Merrijig Primary School,0.4503,-37.1028,146.25688,Merrijig Primary School,0.7,0.7
1020,13 Honey Bee Run Goughs Bay VIC 3723,"[-37.1790028, 146.0690563]",170.8,140.5,Mansfield Secondary College,13.0253,-37.06268,146.08856,Mansfield Secondary College,21.0,21.3
1021,60 Main Street Maindample VIC 3723,"[-37.0269597, 145.937467]",132.0,108.5,Mansfield Primary School,13.4886,-37.05559,146.08482,Mansfield Primary School,14.4,11.5
