,name,coordinates,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
376,2804/220 Spencer Street Melbourne VIC 3000,"[-37.8157157, 144.9529559]",Hester Hornbrook Academy,0.2958,Southern Cross Railway Station (Melbourne City),0.2785,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
377,1813/27 Little Collins Street Melbourne VIC 3000,"[-37.8128985, 144.9727786]",Stott's College,0.2468,Parliament Railway Station (Melbourne City),0.1999,-37.81154,144.97056,Stott's College,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),,,,
378,703/157 Abeckett Street Melbourne VIC 3000,"[-37.8099156, 144.9591846]",Ozford College,0.5339,Melbourne Central Railway Station (Melbourne City),0.3008,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
379,6311/134-160 Spencer St Melbourne VIC 3000,"[-37.8174166, 144.9536383]",Hester Hornbrook Academy,0.2416,Southern Cross Railway Station (Melbourne City),0.2043,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
380,2103/442 Elizabeth Street Melbourne VIC 3000,"[-37.8082901, 144.9608496]",River Nile School,0.6129,Melbourne Central Railway Station (Melbourne City),0.236,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
381,4003/38 Rose Lane Melbourne VIC 3000,"[-37.8148884, 144.9542283]",Ozford College,0.2224,Flagstaff Railway Station (Melbourne City),0.3458,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
382,2X09/220 Spencer Street Melbourne VIC 3000,"[-37.8207213, 144.9553932]",Hester Hornbrook Academy,0.4689,Southern Cross Railway Station (Melbourne City),0.4708,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
383,5803/568 Collins Street Melbourne VIC 3000,"[-37.8183759, 144.9554361]",Hester Hornbrook Academy,0.2132,Southern Cross Railway Station (Melbourne City),0.3593,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
384,601/135 A'beckett Street Melbourne VIC 3000,"[-37.8097879, 144.9596466]",Ozford College,0.5748,Melbourne Central Railway Station (Melbourne City),0.2604,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
385,5503/452-456 Elizabeth Street Melbourne VIC 3000,"[-37.8079005, 144.9605172]",River Nile School,0.5647,Melbourne Central Railway Station (Melbourne City),0.2879,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
386,2003/315 La Trobe Street Melbourne VIC 3000,"[-37.8109646, 144.959936]",Ozford College,0.5307,Melbourne Central Railway Station (Melbourne City),0.2627,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
387,107/25-33 Wills Street Melbourne VIC 3000,"[-37.8107757, 144.9569269]",Ozford College,0.3222,Flagstaff Railway Station (Melbourne City),0.1736,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
