,name,coordinates,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
494,1306/151 Berkeley Street Melbourne VIC 3000,"[-37.8022049, 144.9582151]",St Joseph's Flexible Learning Centre Melbourne,0.3408,Melbourne Central Railway Station (Melbourne City),0.9373,-37.80384,144.95494,St Joseph's Flexible Learning Centre Melbourne,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
495,4304/442 Elizabeth Street Melbourne VIC 3000,"[-37.8082901, 144.9608496]",River Nile School,0.6129,Melbourne Central Railway Station (Melbourne City),0.236,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
496,409/233 Collins Street Melbourne VIC 3000,"[-37.8160052, 144.9661758]",Stott's College,0.6282,Flinders Street Railway Station (Melbourne City),0.2648,-37.81154,144.97056,Stott's College,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),,,,
497,5612/370 Queen Street Melbourne VIC 3000,"[-37.8101314, 144.9587648]",Ozford College,0.49,Melbourne Central Railway Station (Melbourne City),0.3387,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
498,2402/80 A'beckett Street Melbourne VIC 3000,"[-37.8089991, 144.9610792]",River Nile School,0.676,Melbourne Central Railway Station (Melbourne City),0.1671,-37.80519,144.95509,River Nile School,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
499,4210/228 La Trobe Street Melbourne VIC 3000,"[-37.8097514, 144.9626141]",Stott's College,0.7273,Melbourne Central Railway Station (Melbourne City),0.0165,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),,,,
500,2313/220 Spencer Street Melbourne VIC 3000,"[-37.8157157, 144.9529559]",Hester Hornbrook Academy,0.2958,Southern Cross Railway Station (Melbourne City),0.2785,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
501,705A/651-669 Lonsdale Street Melbourne VIC 3000,"[-37.8142975, 144.9530959]",Ozford College,0.1949,Flagstaff Railway Station (Melbourne City),0.3429,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),,,,
502,5207/568 Collins Street Melbourne VIC 3000,"[-37.8183759, 144.9554361]",Hester Hornbrook Academy,0.2132,Southern Cross Railway Station (Melbourne City),0.3593,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
503,260 Spencer St Melbourne VIC 3000,"[-37.814564, 144.9522856]",Ozford College,0.2643,Southern Cross Railway Station (Melbourne City),0.3784,-37.81289,144.95442,Ozford College,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),,,,
